CUSTKEY,NAME,ADDRESS,PHONE,ACCTBAL,MKTSEGMENT
687728,Customer#000687728,bA75ZMCN9NtoDcEUTH0P,15-597-728-7959,7116.87,AUTOMOBILE
688113,Customer#000688113,4V89v2I62pioqJSHash,23-474-384-8481,9050.03,BUILDING
688240,Customer#000688240,"1axcksK9nzkC7,kYszDbsD4R6Pr",30-901-256-8894,30.85,FURNITURE
689033,Customer#000689033,7uPEFbhcicCQKjYYbAScZjy6oXHDsslPI4 ,30-775-441-6721,-544.49,BUILDING
750405,Customer#000750405,U0WvtFJz2FgCJP56,34-767-952-6603,5234.11,HOUSEHOLD
750887,Customer#000750887,PjQW S1zHs,28-179-563-9611,9173.64,AUTOMOBILE
752845,Customer#000752845,5trmJz J343AWVJOjYOQTtnEvLqAhDA2jUxO49S,17-552-148-2227,6013.32,HOUSEHOLD
754205,Customer#000754205,om0YuQPNBBdmeIlapCinAYYBpOLPp8JGR,29-938-230-2391,9410.51,BUILDING
758281,Customer#000758281,nx R9XKNLpPz7vsQzcVKj,11-326-186-7041,6338.96,BUILDING
760174,Customer#000760174,"wfetF0I57wApGFAyd9GFGHY,CGrrzetgXTU9z4o",15-639-737-5154,7672.73,AUTOMOBILE
762719,Customer#000762719,"dobnc,j,HqTTnBswMnbxhb7gM7,ucZh0d",14-533-506-5785,1625.31,FURNITURE
992606,Customer#000992606,"OT0nDAD2FOfOIpAiJBa4VV,ZXbf644sj",28-612-114-6583,8709.20,HOUSEHOLD
996450,Customer#000996450,pgI 1ShCDe,25-988-545-2025,9168.71,AUTOMOBILE
996768,Customer#000996768,oSiAN7 bYveAPCW Rpxmzf4cuFCbJNnGqIY1tJT,23-980-696-9131,4499.11,HOUSEHOLD
1001308,Customer#001001308,hgQURqa0gdr6EqAWAkvSdkLo2ew5TNku,20-208-827-3662,9069.56,AUTOMOBILE
1260366,Customer#001260366,hGxC28X XpPaD8O00IHuoTn,28-712-318-4842,6208.07,HOUSEHOLD
1263756,Customer#001263756,k8JGS8G8vVARPu6gQ 99W8oCM9tcPrgsSNC6XqYu,10-499-241-6147,7455.49,FURNITURE
1264556,Customer#001264556,Ou2GCTIyonwR,21-316-422-5950,6325.32,BUILDING
1265554,Customer#001265554,"Li0eePhTJ,9Jd",14-997-227-5028,4129.08,AUTOMOBILE
1265906,Customer#001265906,Tq7RBeMvmdDGPLenL,29-615-699-7044,5961.93,FURNITURE
1267257,Customer#001267257,"QZODcDzPFMGXPf h7DpTNMbQhtvVCAh,m",15-507-331-4046,5054.10,MACHINERY
1272810,Customer#001272810,"qcFngQqs9QKV663HfD2UztKmxagQ9rwB ,NQ",32-598-680-1278,3197.41,BUILDING
1274643,Customer#001274643,jhvvD3xPcASzhO91es8Tuo FLQelTVwNB,10-450-814-2881,-252.37,MACHINERY
154,Customer#000000154,2LAlU fDHkOqbXjHHDqw1mJQNC,29-522-835-6914,4695.12,FURNITURE
1651,Customer#000001651,"whCw6gMwEuls sCrsaB,DQI0,",13-593-198-5028,1614.35,AUTOMOBILE
3171,Customer#000003171,4 Q8QSXeFz5idXCpF34PtKJtl7eHtNdMF,31-180-918-1926,1568.52,AUTOMOBILE
6209,Customer#000006209,C1Ls6INP7D9jHTugpjUUWD9kS9cpKclB,12-685-144-7597,5241.88,BUILDING
405064,Customer#000405064," 5Mccn3DJH",32-657-721-1694,8662.45,AUTOMOBILE
406180,Customer#000406180,",ZO lnWvfRI",27-177-606-3467,5466.77,AUTOMOBILE
406214,Customer#000406214,Gs50G8QGmz7dbgqQruJdaks,13-789-778-7878,9494.83,MACHINERY
408158,Customer#000408158,NeJgaWVCsIBNvSSb5tYe6CSvHFLV4A4GXyJl0e,12-163-716-9155,9805.84,AUTOMOBILE
408370,Customer#000408370,FZjTgDzC6PG1VYQlGahk,34-758-793-3796,3834.30,AUTOMOBILE
408439,Customer#000408439,3LC7GHQSnuQLN8f4aO,13-205-256-2670,1194.06,HOUSEHOLD
408707,Customer#000408707,F1erlYxh0vcjDW0DK2kGE3BssLS2eppbWj,13-560-583-2191,6146.82,BUILDING
410054,Customer#000410054,Ym0qJN59kKXCavicwXuROrDyTvrpDek1Y,26-926-635-7896,2358.45,FURNITURE
410257,Customer#000410257,sH9M2sKNDU1l7A7S5uCzjPjfip8,27-926-317-1527,6694.81,HOUSEHOLD
415053,Customer#000415053,",7wMy8NdGQIYALCp,G1axfi71Ou ",16-841-946-2272,754.73,AUTOMOBILE
416283,Customer#000416283,SxzQEL1e5Kg,22-549-366-6620,4121.99,HOUSEHOLD
979940,Customer#000979940,qwGKnhU9aFgKqHgIMHx0duJQhe9XZOUyo lpc,33-219-868-7841,5159.55,BUILDING
984180,Customer#000984180,"8Ld6iIBn5uRIOUjsAaXMe,H,JFid,",18-655-819-7769,-895.63,BUILDING
985309,Customer#000985309,MAx3rMn1FVBR5eMRm3zGFhx62jF,13-806-814-2288,7980.47,HOUSEHOLD
987398,Customer#000987398,"0get,BG99jQ",34-450-343-3094,4538.32,MACHINERY
988486,Customer#000988486,"4LHXKd6,bIlpQBBIAdgwjbC",24-877-211-3193,8391.26,FURNITURE
988757,Customer#000988757,ZLlj8ePFTeuwOO3OFhrpY,18-266-860-8509,2990.43,FURNITURE
1125612,Customer#001125612,JppwRgDJJQHHbn2no21mUE9oF,16-637-869-9442,5258.58,HOUSEHOLD
1126181,Customer#001126181,wKOEdVhWiudhqdXRxpIAZQ5bQAmvGO,11-625-137-5382,9011.73,AUTOMOBILE
1126399,Customer#001126399,FyHiVBPZJ3eDxOBzY54AMSyUlvex,11-527-285-3800,9539.45,HOUSEHOLD
1126668,Customer#001126668,4g7wxTbagTXbNyruGpEbTC mAuHyGaB98 LcSco,34-700-976-6530,3602.50,FURNITURE
1126961,Customer#001126961,R 9X6RGDRtSGgRRsyGnzlHvFvuXL,32-944-340-2103,119.47,BUILDING
1130144,Customer#001130144," 3VQyPzVwVsxiNpGM9uAvpgphZTgx",28-827-453-8538,9037.97,FURNITURE
1132983,Customer#001132983,YSxsumKG3m4xqjxav,14-994-558-8516,6109.74,MACHINERY
1135370,Customer#001135370,xdtbVb98 mIiv,16-396-435-6288,5641.28,AUTOMOBILE
1135395,Customer#001135395,"GH98sk3KFwCQbFRkZDa0WK,dFi21w1s1",34-257-230-2819,7837.51,FURNITURE
1136537,Customer#001136537,zeyVfozmNkZq,21-514-164-7914,507.55,MACHINERY
1137811,Customer#001137811,y7JND72WHv1VA2ePNy,31-162-192-3370,9145.73,AUTOMOBILE
1138569,Customer#001138569,oiy ky36D61w7eblVBjDcLufQg90lPwIVoSRs,19-807-335-1624,4969.49,BUILDING
1139526,Customer#001139526,gCgOPv0Mf1R8Nej41KgfttZFO,23-503-750-8480,2428.58,AUTOMOBILE
1337913,Customer#001337913,NKdNYXJZSdr kWC5YCmbKXkmy,21-532-687-6939,3184.65,MACHINERY
1338211,Customer#001338211,5pKkU3vwEQB,13-836-852-7791,9957.17,HOUSEHOLD
1339007,Customer#001339007," fGwbY70XM24B44Z",15-657-863-7083,2952.90,BUILDING
1343612,Customer#001343612,qxSUFh4zz2keOd5iFK6G7N7eT1UQ,27-259-945-6040,6925.90,BUILDING
1345996,Customer#001345996,omWhMsqLTqDvGMJK,22-997-607-6163,-26.95,AUTOMOBILE
1346477,Customer#001346477,PfqgZPpHs7GNHg0sSHyxArhPvyfwdoOkb,14-908-165-9106,3224.94,HOUSEHOLD
1347928,Customer#001347928,exIbnwcGu46Frxj7K7BLnPxUFKoXvEcI0G3,16-685-462-3469,3467.62,MACHINERY
1347976,Customer#001347976,3icqqq1kfk5UWi17c6Jj8 irJy9aD0qV8,27-735-692-8008,1736.20,BUILDING
1348586,Customer#001348586,iQWbNEI dshta LpT8RDKYfmx,21-933-862-7203,9357.18,HOUSEHOLD
1440950,Customer#001440950,"c0q0RPVBH GQtwZ9HUW,nKRFbFld",32-905-956-2816,4605.47,BUILDING
1441723,Customer#001441723,"7LfGO, yQxxutbOxeRE6a3qvn,z",13-589-590-4680,637.55,AUTOMOBILE
1444185,Customer#001444185,Zg9SKoA4yV7OLx9x3Xl,22-918-272-3703,5772.37,HOUSEHOLD
1444207,Customer#001444207,ipgLzJ8sxlUgPz0ABYMY0VtDb FD5LjO0Vnl,30-399-885-2889,2098.49,AUTOMOBILE
1444906,Customer#001444906,"2ex FY,DfsQyMnffAIjHsqaCHj7 vwEaQ41Uj",26-333-898-3491,1790.40,FURNITURE
1446587,Customer#001446587,7Fkl71wXzLE3U K,25-914-945-2225,2448.24,HOUSEHOLD
1447043,Customer#001447043,"eoIHlLIM0gOQz,WSr4tLD",25-163-506-9979,8829.72,BUILDING
1447868,Customer#001447868,"l59H Nll54g,6CksB8sFyjzm2g7shLcnMIOP",24-232-451-8515,1785.51,BUILDING
1448857,Customer#001448857,"Cc,rQOX5M8M3vhkavkOWcK,8y",24-894-568-9735,7926.36,MACHINERY
1450909,Customer#001450909,"B6Ag4BF ,tprHQxn4cBrmEbG9Fti,FciC9ig",14-779-161-3867,3860.43,BUILDING
1451341,Customer#001451341,lX3 A Tm7xAR,17-540-602-4117,2296.02,BUILDING
1451989,Customer#001451989,y5uPy  W81GAVjgotUZty0ezL21IOL,31-590-538-6496,454.21,MACHINERY
1453029,Customer#001453029,FywaOZAFCc5gly4LjIV,34-474-517-3881,7865.62,BUILDING
1454264,Customer#001454264,"ahs2,8ntdqnDyp4sNglfeOGGoTgmW",25-817-647-6533,479.53,AUTOMOBILE
1454795,Customer#001454795,7AcE9tuxBx1g1x,10-469-122-7091,8066.09,AUTOMOBILE
271070,Customer#000271070,AjvW4nwcqykW4a,34-877-890-5962,3406.53,HOUSEHOLD
272892,Customer#000272892,4zLqncs63PwShgqMz24EwBWWzXzVwfOVKN,26-260-795-1812,8241.95,AUTOMOBILE
275302,Customer#000275302,4hrK8MXpxuczzAm3cFq,27-962-872-6198,8148.41,BUILDING
275881,Customer#000275881,SS30Y430Uqk3zWJTiTMnkqxRGzd20W5oO46,20-851-401-9666,-483.98,HOUSEHOLD
276231,Customer#000276231,aBLNaErLSnnmCfOzkuB9K3  mmjdUrmHhkc5ogNw,33-690-796-5664,7081.94,HOUSEHOLD
277012,Customer#000277012,D2cP77z36qwQSdHWY12K,29-930-458-7196,568.43,FURNITURE
277375,Customer#000277375,"ylDu1agFNi3iQQQHUjWb,Bg",24-980-261-2681,-491.42,FURNITURE
277492,Customer#000277492,5mBt4BYG0UQSWozj,19-788-475-2319,4032.47,FURNITURE
277535,Customer#000277535,"qXNu7BohkDhKexzXutAGoM xVqay,6BUm m",24-807-134-7845,-787.90,BUILDING
278960,Customer#000278960,"Da2l,I9NGHwtf,trQ8Q",10-996-131-6119,3055.52,FURNITURE
280368,Customer#000280368,aK33L47iaO7hXphoyIxOKKrYpChj,22-799-106-4100,-709.15,FURNITURE
281834,Customer#000281834,KKRXVjlMc3zLbKeZeRT,33-323-411-3265,2017.39,HOUSEHOLD
282041,Customer#000282041,"xjm47katY6blYPPvx0m,gfnzHz7zGVrIij2T",24-771-615-3795,3321.75,HOUSEHOLD
282075,Customer#000282075,"cvHt5WcJdUK81w2uLqaBixITU8JXUrQHOTezI,",30-901-395-9662,7433.15,HOUSEHOLD
282387,Customer#000282387,Us aTGHuFv ayzcqa2x,16-928-371-6440,3049.70,BUILDING
282802,Customer#000282802,ous3LWfHFo,23-948-344-6322,3937.21,BUILDING
284668,Customer#000284668,"ZgAIOiI8l7qqCx,At5QkH3nI0Gi5285",18-915-897-5043,2880.10,BUILDING
454363,Customer#000454363,"R0oIG,S2Yo,ITY6p6NUApmEjEHgRfBHqlN",24-132-692-3263,27.56,HOUSEHOLD
457234,Customer#000457234,t8w3u2NaGErYns7,32-842-479-1973,1291.60,MACHINERY
457975,Customer#000457975,"QEkaFwLOQXJp3GmgFla4,",22-377-894-1728,9951.54,BUILDING
458305,Customer#000458305,"Xk8XOQ,MJOQqJb2vl5",18-943-398-3812,1815.61,AUTOMOBILE
458536,Customer#000458536,diOPx1mL7M62ADGA86lIX2PYZtoKJqVnW,27-701-280-1266,7718.46,FURNITURE
459045,Customer#000459045,"7cYOzs8R9xNMwBw41LExT,z0rf",14-345-150-4093,-350.48,FURNITURE
459321,Customer#000459321,9CH6YzBqIEC30AlssL,10-487-458-5119,2571.55,FURNITURE
460146,Customer#000460146,uOKgeXxMUfUL5Zc3wDr5GWQDrCe8,15-842-732-4247,9236.54,FURNITURE
461811,Customer#000461811,am61dwOyErWd1OViRJ4,27-175-781-1752,9280.38,BUILDING
461947,Customer#000461947,f4EmWkNkVRgcBDebln57X6SMhKnYZXtMzB,33-704-287-1937,1014.28,FURNITURE
570108,Customer#000570108,"V89NXtI,Yj",21-973-734-8482,681.91,AUTOMOBILE
570382,Customer#000570382,"N3IlZ4XWGQiEp9AUZBI7YO9oq,aET",10-604-376-4495,4831.68,FURNITURE
570950,Customer#000570950,"nv7DxIiW6JJ2HXs8RXh5qRC1IWZ,7",17-403-445-3133,4293.36,HOUSEHOLD
572417,Customer#000572417,PvIAdZAUeFQcvRJPbvWBhhmVfqxcJz,16-604-318-1274,172.96,HOUSEHOLD
572878,Customer#000572878,"hBSc5rZtsRSgO3JqOdbDZ,Q",20-999-725-9309,4358.62,AUTOMOBILE
573270,Customer#000573270,"0ERijiz7bX842Hb A7ioaXl6ZUuBGOuMU6,aTGI",15-652-752-8968,3646.47,MACHINERY
574823,Customer#000574823,lJiUVl24 r3eZvrYFpcE57sESW,10-877-896-5780,4309.43,FURNITURE
578280,Customer#000578280,Bo7mxZw8IRrz,21-310-487-2096,7522.35,AUTOMOBILE
578598,Customer#000578598,1ZfA8W6A4J,18-804-879-3476,2972.62,HOUSEHOLD
578649,Customer#000578649,1OmwQ6RJ24mzWrE8TY,12-680-796-3210,9976.65,HOUSEHOLD
579322,Customer#000579322,6Ry40wuEqEb,11-448-577-3132,7868.52,AUTOMOBILE
580319,Customer#000580319,X5b3sP53m5nyE5xj3Wuidl,32-407-432-2931,9095.78,AUTOMOBILE
582911,Customer#000582911,wueV7sNEKb DT6fluw2pTcWtxc4KAU,20-854-412-9455,3653.87,MACHINERY
645169,Customer#000645169,nkheCcMTAkhIWuESp,22-499-682-1963,554.70,AUTOMOBILE
645891,Customer#000645891,lOOvCfqEsi,14-563-115-8436,8154.30,MACHINERY
645894,Customer#000645894,q6NBedIHJFj5iudDlEublcFUsvj8SEv,34-191-949-1704,3685.25,BUILDING
646156,Customer#000646156,KRWh7iXwYR85PlkkuHvHTF9oS,20-691-186-5565,6580.24,HOUSEHOLD
646283,Customer#000646283,MvGuKZqyLxLhnvhyMNp3qrG FBpC869gJy0j,15-556-229-3520,561.37,HOUSEHOLD
646609,Customer#000646609,6m Q659yrt8UXyEPQX pSrmARdQ,14-548-420-7030,7576.71,FURNITURE
647356,Customer#000647356,"2Hy4VLMmMZKMykj,hMTStzClthac",21-634-680-5434,874.37,MACHINERY
647709,Customer#000647709,AXSEKJO2zt3GoRtMqf9QBzYKd4EceJZPNpifDNNO,19-810-653-5279,507.33,HOUSEHOLD
652827,Customer#000652827,",jS65h9tCd0DFmPPXGjH,fHVAUOoVncDv9B",21-350-148-5240,5587.88,MACHINERY
654123,Customer#000654123,7Q auSWQdG,19-245-789-3284,1946.35,MACHINERY
654360,Customer#000654360,vlNVpMMBTsQNlf,15-913-105-3823,4249.47,HOUSEHOLD
